"State","year","month","NO2.AQI","O3.AQI","SO2.AQI","CO.AQI"
"Arizona",2008,10,41.1048387096774,36.3387096774194,4.45967741935484,8.54032258064516
"Arizona",2008,11,39.0111111111111,27.575,4.69722222222222,10.825
"Arizona",2008,12,35.497311827957,19.5510752688172,5.03225806451613,11.5752688172043
"Arizona",2009,1,36.8709677419355,22.9193548387097,4.39784946236559,10.8279569892473
"Arizona",2009,2,38.2321428571429,31.9107142857143,3.25,9.33035714285714
"Arizona",2009,3,38.2661290322581,40.9193548387097,3.38709677419355,7.16129032258065
"Arizona",2009,4,36.1555555555556,48.2611111111111,2.525,6.06666666666667
"Arizona",2009,5,29.3387096774194,47.9731182795699,1.79569892473118,5.5752688172043
"Arizona",2009,6,25.9555555555556,39.1555555555556,2.51666666666667,4.42777777777778
"Arizona",2009,7,21.989247311828,49.4193548387097,1.31182795698925,4.49462365591398
"Arizona",2009,8,28.2258064516129,44.8279569892473,3.02150537634409,5.38709677419355
"Arizona",2009,9,29.8166666666667,42.7416666666667,3.48333333333333,4.9
"Arizona",2009,10,35.6774193548387,35.5967741935484,2.79838709677419,6.58064516129032
"Arizona",2009,11,39.75,28.1416666666667,4.36666666666667,11.35
"Arizona",2009,12,37.7258064516129,23.6370967741935,4.08870967741935,11.4516129032258
"Arizona",2010,1,36.2258064516129,27.1397849462366,3.86021505376344,9.58870967741935
"Arizona",2010,2,35.1696428571429,32.4107142857143,3.07142857142857,7
"Arizona",2010,3,35.6451612903226,39.9193548387097,3.2741935483871,6.58870967741935
"Arizona",2010,4,31.4611111111111,46.3361111111111,2.95,5.3
"Arizona",2010,5,32.3010752688172,53.1720430107527,2.89247311827957,5.21505376344086
"Arizona",2010,6,26.7055555555556,53.2277777777778,3.12777777777778,3.82777777777778
"Arizona",2010,7,14.4408602150538,45.5161290322581,3.40322580645161,2.60752688172043
"Arizona",2010,8,22.9784946236559,46.3548387096774,3.24731182795699,3.54838709677419
"Arizona",2010,9,33.0638888888889,45.4166666666667,3.08611111111111,5.47777777777778
"Arizona",2010,10,30.6774193548387,35.8903225806452,1.89032258064516,5.34838709677419
"Arizona",2010,11,36.9166666666667,31.205,2.97,8.97
"Arizona",2010,12,35.0129032258065,21.6774193548387,3.46451612903226,10.5290322580645
"Arizona",2011,1,38.1774193548387,25.5806451612903,3.7258064516129,11.1559139784946
"Arizona",2011,2,35.2976190476191,33.8214285714286,2.36904761904762,8.29761904761905
"Arizona",2011,3,35.5967741935484,40.5161290322581,2.40860215053763,5.73118279569892
"Arizona",2011,4,25.7111111111111,46.3444444444444,1.92777777777778,3.32777777777778
"Arizona",2011,5,26.0752688172043,51.1612903225806,1.53763440860215,3.2258064516129
"Arizona",2011,6,27.5166666666667,53.5333333333333,2.9,3.43333333333333
"Arizona",2011,7,18.3709677419355,48.8225806451613,1.38709677419355,2.19354838709677
"Arizona",2011,8,23.4838709677419,49.3709677419355,1.67741935483871,2.2258064516129
"Arizona",2011,9,30.0833333333333,42.95,1.83333333333333,3.51666666666667
"Arizona",2011,10,38.1666666666667,36.7688172043011,3.12903225806452,6.87634408602151
"Arizona",2011,11,36.2666666666667,28.3,2.77777777777778,8.46666666666667
"Arizona",2011,12,34.3548387096774,22.8279569892473,3.23655913978495,10.3548387096774
"Arizona",2012,1,37.4731182795699,23.1935483870968,3.84408602150538,11.005376344086
"Arizona",2012,2,38.3218390804598,34.0344827586207,2.80459770114943,8.51724137931035
"Arizona",2012,3,39.0752688172043,40.4193548387097,1.97849462365591,6.98924731182796
"Arizona",2012,4,35.3,50.5833333333333,1.41111111111111,5.40555555555556
"Arizona",2012,5,33.7634408602151,60.9623655913978,1.52150537634409,4.17741935483871
